ElementId,ElementTypeNumeric,ElementTypeName,DotNetTypeName,HasSolidPrimitive,HasCurveVector,HasGraphics,ChildCount_GetChildren,ChildCount_ChildElemIter,HasRange,Notes
6228894,35,35,,False,False,False,-1,0,True,
6228895,35,35,,False,False,False,-1,0,True,
6228896,35,35,,False,False,False,-1,0,True,
6228897,35,35,,False,False,False,-1,0,True,
6228898,35,35,,False,False,False,-1,0,True,
6228899,35,35,,False,False,False,-1,0,True,
6228900,35,35,,False,False,False,-1,0,True,
6228901,35,35,,False,False,False,-1,0,True,
6228902,35,35,,False,False,False,-1,0,True,
6228903,35,35,,False,False,False,-1,0,True,
6228904,35,35,,False,False,False,-1,0,True,
6228905,35,35,,False,False,False,-1,0,True,
6228906,35,35,,False,False,False,-1,0,True,
6228907,35,35,,False,False,False,-1,0,True,
6228908,35,35,,False,False,False,-1,0,True,
6228909,35,35,,False,False,False,-1,0,True,
6228910,35,35,,False,False,False,-1,0,True,
6228911,35,35,,False,False,False,-1,0,True,
6228912,35,35,,False,False,False,-1,0,True,
6228913,35,35,,False,False,False,-1,0,True,
6228914,35,35,,False,False,False,-1,0,True,
6228915,35,35,,False,False,False,-1,0,True,
6228916,35,35,,False,False,False,-1,0,True,
6228917,35,35,,False,False,False,-1,0,True,
6228918,35,35,,False,False,False,-1,0,True,
6228919,35,35,,False,False,False,-1,0,True,
6228920,35,35,,False,False,False,-1,0,True,
6228921,35,35,,False,False,False,-1,0,True,
6228922,35,35,,False,False,False,-1,0,True,
6228923,35,35,,False,False,False,-1,0,True,
6228924,35,35,,False,False,False,-1,0,True,
6228925,35,35,,False,False,False,-1,0,True,
6228926,35,35,,False,False,False,-1,0,True,
6228927,35,35,,False,False,False,-1,0,True,
6228928,35,35,,False,False,False,-1,0,True,
6228929,35,35,,False,False,False,-1,0,True,
6228930,35,35,,False,False,False,-1,0,True,
6228931,35,35,,False,False,False,-1,0,True,
6228932,35,35,,False,False,False,-1,0,True,
6228933,35,35,,False,False,False,-1,0,True,
6228934,35,35,,False,False,False,-1,0,True,
6228935,35,35,,False,False,False,-1,0,True,
6228936,35,35,,False,False,False,-1,0,True,
6228937,35,35,,False,False,False,-1,0,True,
6228938,35,35,,False,False,False,-1,0,True,
6228939,35,35,,False,False,False,-1,0,True,
6228946,106,106,,False,False,False,-1,0,True,
6228952,106,106,,False,False,False,-1,0,True,
6228958,106,106,,False,False,False,-1,0,True,
6228964,106,106,,False,False,False,-1,0,True,
6228970,106,106,,False,False,False,-1,0,True,
6228976,106,106,,False,False,False,-1,0,True,
6228977,2,2,,False,False,False,-1,13,True,
6228991,2,2,,False,False,False,-1,13,True,
6229005,2,2,,False,False,False,-1,13,True,
6229019,2,2,,False,False,False,-1,13,True,
6229034,35,35,,False,False,False,-1,0,True,
6229035,35,35,,False,False,False,-1,0,True,
6229036,35,35,,False,False,False,-1,0,True,
6229037,35,35,,False,False,False,-1,0,True,
6229038,35,35,,False,False,False,-1,0,True,
6229039,35,35,,False,False,False,-1,0,True,
6229040,35,35,,False,False,False,-1,0,True,
6229041,35,35,,False,False,False,-1,0,True,
6229042,35,35,,False,False,False,-1,0,True,
6229043,35,35,,False,False,False,-1,0,True,
6229044,19,19,,True,False,False,-1,26,True,
6229071,35,35,,False,False,False,-1,0,True,
6229072,2,2,,False,False,False,-1,10,True,
6229603,24,24,,False,False,False,-1,8,True,
6229612,19,19,,True,False,False,-1,6,True,
6229620,2,2,,False,False,False,-1,95,True,
6229816,2,2,,False,False,False,-1,13,True,
6229830,2,2,,False,False,False,-1,13,True,
6229844,2,2,,False,False,False,-1,13,True,
6229858,2,2,,False,False,False,-1,13,True,
6229872,2,2,,False,False,False,-1,13,True,
6229886,2,2,,False,False,False,-1,13,True,
6229900,2,2,,False,False,False,-1,13,True,
6229914,2,2,,False,False,False,-1,13,True,
6229928,2,2,,False,False,False,-1,13,True,
6229942,2,2,,False,False,False,-1,13,True,
6229956,2,2,,False,False,False,-1,13,True,
6229970,2,2,,False,False,False,-1,13,True,
6229984,2,2,,False,False,False,-1,13,True,
6229998,2,2,,False,False,False,-1,13,True,
6230012,2,2,,False,False,False,-1,13,True,
6230026,2,2,,False,False,False,-1,13,True,
6230040,2,2,,False,False,False,-1,13,True,
6230054,2,2,,False,False,False,-1,13,True,
6230068,2,2,,False,False,False,-1,13,True,
6230082,2,2,,False,False,False,-1,13,True,
6230551,2,2,,False,False,False,-1,324,True,
6233633,2,2,,False,False,False,-1,324,True,
6236260,2,2,,False,False,False,-1,26,True,
6236341,2,2,,False,False,False,-1,26,True,
6236422,2,2,,False,False,False,-1,243,True,
6240201,2,2,,False,False,False,-1,243,True,
6243980,19,19,,True,False,False,-1,6,True,
6243987,2,2,,False,False,False,-1,3,True,
6243991,2,2,,False,False,False,-1,3,True,
6243995,2,2,,False,False,False,-1,7,True,
6244006,106,106,,False,False,False,-1,0,True,
6244007,2,2,,False,False,False,-1,6,True,
6244050,2,2,,False,False,False,-1,97,True,
6244562,2,2,,False,False,False,-1,97,True,
6245220,106,106,,False,False,False,-1,0,True,
6245439,106,106,,False,False,False,-1,0,True,
6245644,106,106,,False,False,False,-1,0,True,
6245863,106,106,,False,False,False,-1,0,True,
6245864,2,2,,False,False,False,-1,4,True,
6245895,106,106,,False,False,False,-1,0,True,
6245896,106,106,,False,False,False,-1,0,True,
6245897,106,106,,False,False,False,-1,0,True,
6245898,106,106,,False,False,False,-1,0,True,
6245899,2,2,,False,False,False,-1,4,True,
6245930,106,106,,False,False,False,-1,0,True,
6245932,106,106,,False,False,False,-1,0,True,
6245973,19,19,,True,False,False,-1,6,True,
6245980,2,2,,False,False,False,-1,3,True,
6245984,2,2,,False,False,False,-1,3,True,
6245988,2,2,,False,False,False,-1,7,True,
6245996,106,106,,False,False,False,-1,0,True,
6245997,2,2,,False,False,False,-1,6,True,
6246040,2,2,,False,False,False,-1,97,True,
6246552,2,2,,False,False,False,-1,97,True,
6247064,106,106,,False,False,False,-1,0,True,
6247065,106,106,,False,False,False,-1,0,True,
6247066,106,106,,False,False,False,-1,0,True,
6247067,106,106,,False,False,False,-1,0,True,
6247068,2,2,,False,False,False,-1,4,True,
6247245,106,106,,False,False,False,-1,0,True,
6247464,106,106,,False,False,False,-1,0,True,
6247669,106,106,,False,False,False,-1,0,True,
6247888,106,106,,False,False,False,-1,0,True,
6247889,2,2,,False,False,False,-1,4,True,
6247923,106,106,,False,False,False,-1,0,True,
6247924,106,106,,False,False,False,-1,0,True,
6256987,35,35,,False,False,False,-1,0,True,
6256988,35,35,,False,False,False,-1,0,True,
6256989,35,35,,False,False,False,-1,0,True,
6256990,35,35,,False,False,False,-1,0,True,
6256991,35,35,,False,False,False,-1,0,True,
6256992,35,35,,False,False,False,-1,0,True,
6256993,35,35,,False,False,False,-1,0,True,
6256994,35,35,,False,False,False,-1,0,True,
6256995,35,35,,False,False,False,-1,0,True,
6256996,35,35,,False,False,False,-1,0,True,
6256997,35,35,,False,False,False,-1,0,True,
6256998,35,35,,False,False,False,-1,0,True,
6256999,35,35,,False,False,False,-1,0,True,
6257000,35,35,,False,False,False,-1,0,True,
6257001,35,35,,False,False,False,-1,0,True,
6257002,35,35,,False,False,False,-1,0,True,
6257003,35,35,,False,False,False,-1,0,True,
6257004,35,35,,False,False,False,-1,0,True,
6257005,35,35,,False,False,False,-1,0,True,
6257006,35,35,,False,False,False,-1,0,True,
6257007,35,35,,False,False,False,-1,0,True,
6257008,35,35,,False,False,False,-1,0,True,
6257009,35,35,,False,False,False,-1,0,True,
6257010,35,35,,False,False,False,-1,0,True,
6257011,35,35,,False,False,False,-1,0,True,
6257012,35,35,,False,False,False,-1,0,True,
6257013,35,35,,False,False,False,-1,0,True,
6257014,35,35,,False,False,False,-1,0,True,
6257015,35,35,,False,False,False,-1,0,True,
6257016,35,35,,False,False,False,-1,0,True,
6257017,35,35,,False,False,False,-1,0,True,
6257018,35,35,,False,False,False,-1,0,True,
6257019,35,35,,False,False,False,-1,0,True,
6257020,35,35,,False,False,False,-1,0,True,
6257021,35,35,,False,False,False,-1,0,True,
6257022,35,35,,False,False,False,-1,0,True,
6257023,35,35,,False,False,False,-1,0,True,
6257024,35,35,,False,False,False,-1,0,True,
6257025,35,35,,False,False,False,-1,0,True,
6257026,35,35,,False,False,False,-1,0,True,
6257027,35,35,,False,False,False,-1,0,True,
6257028,35,35,,False,False,False,-1,0,True,
6257029,35,35,,False,False,False,-1,0,True,
6257030,35,35,,False,False,False,-1,0,True,
6257031,35,35,,False,False,False,-1,0,True,
6257032,35,35,,False,False,False,-1,0,True,
